@relation new

@attribute year numeric
@attribute iso_code {ALB,DZA,AGO,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRD,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COD,COG,CRI,CIV,HRV,CYP,CZE,DNK,DOM,ECU,EGY,SLV,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LTU,LUX,MKD,MDG,MWI,MYS,MLI,MLT,MRT,MUS,MEX,MDA,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TTO,TUN,TUR,UGA,UKR,ARE,GBR,USA,URY,VEN,VNM,YEM,ZMB,ZWE}
@attribute rank numeric
@attribute government_consumption numeric
@attribute transfers numeric
@attribute gov_enterprises numeric
@attribute top_marg_tax_rate numeric
@attribute size_government numeric
@attribute judicial_independence numeric
@attribute impartial_courts numeric
@attribute protection_property_rights numeric
@attribute military_interference numeric
@attribute integrity_legal_system numeric
@attribute legal_enforcement_contracts numeric
@attribute restrictions_sale_real_property numeric
@attribute reliability_police numeric
@attribute business_costs_crime numeric
@attribute gender_adjustment numeric
@attribute property_rights numeric
@attribute money_growth numeric
@attribute std_inflation numeric
@attribute inflation numeric
@attribute freedom_own_foreign_currency numeric
@attribute sound_money numeric
@attribute tariffs numeric
@attribute regulatory_trade_barriers numeric
@attribute black_market numeric
@attribute control_movement_capital_ppl numeric
@attribute trade numeric
@attribute credit_market_reg numeric
@attribute labor_market_reg numeric
@attribute business_reg numeric
@attribute regulation numeric
@attribute freedom numeric

@data
2016,EST,13,3.473529,6.061366,7,7,5.883724,7.839075,5.534039,7.342769,8.333333,6.666667,5.70489,9.504908,8.3411,7.707636,1,7.441602,7.825201,9.51128,9.97018,2,9.326665,8.266133,8.489838,10,6.981259,8.434308,10,6.263752,8.339998,8.20125,1
2016,ETH,146,8.179412,9.105665,4,5,6.571269,4.472307,4.296225,5.336214,1.666667,7.5,5.546759,7.044972,5.022477,5.690726,0.794872,4.644365,9.019102,5.366033,8.5468,0,5.732984,5.232267,3.45984,10,1.533811,5.056479,7.073286,7.286482,5.575414,6.645061,0
2016,FJI,88,3.494118,9.462711,6,5,5.989207,?,4.6,?,7.9,?,5.109062,7.709819,?,?,0.918919,6.07311,7.333571,9.226289,9.2272,0,6.446765,4.957778,6.423686,10,5,6.595366,9.400232,9.293303,7.820161,8.837899,1
2016,FIN,22,2.858824,3.245496,8,2.5,4.15108,9.697464,7.981029,9.288065,10,10,5.825137,7.796891,9.688242,8.906802,1,8.798181,7.836625,9.67678,9.9288,2,9.360551,8.266133,8.50381,10,6.161763,8.232927,9.464506,5.200685,8.488582,7.717924,1
2016,FRA,57,2.961765,2.418467,8,3.5,4.220058,7.129147,5.67348,7.290585,8.333333,8.333333,6.430501,6.390857,7.819396,6.53708,0.948718,6.922032,8.134101,9.823008,9.96334,2,9.480112,8.266133,7.675565,10,6.770505,8.178051,9.439527,5.623802,7.312512,7.458614,1
2016,GAB,140,3.670588,9.809264,8,3.5,6.244963,3.433125,3.636299,5.147555,3.333333,5,2.915889,4.62081,4.89899,5.933838,0.804878,3.902531,8.449106,8.331486,9.57866,0,6.589813,6.283,3.69887,10,2.785869,5.691935,8.109333,7.267349,4.980851,6.785845,0
2016,GMB,49,8.323529,9.57951,4,8,7.47576,4.601055,5.131619,5.841674,3.333333,5.833333,5.094459,6.254445,7.653865,6.935592,0.948718,5.486656,9.045849,9.399697,8.556,2,9.250386,6.476933,5.194549,10,8.23755,7.477258,7.171384,7.948378,5.915149,7.011637,1
2016,GEO,7,5.252941,6.882548,8,10,7.533872,4.28344,4.026939,6.128195,5.3,?,6.797723,9.981101,6.965083,7.029692,1,6.314022,8.342321,8.975868,9.57302,2,9.222802,9.293556,7.597465,10,7.361525,8.563136,9.800844,7.821112,7.839426,8.487127,1
2016,DEU,20,3.858824,3.064661,10,5,5.480871,7.527479,6.966449,7.598932,10,8.333333,5.828997,6.814874,7.234964,6.643224,1,7.438695,8.144176,9.871176,9.90334,2,9.479673,8.266133,8.008148,10,5.919488,8.048442,8.333333,7.43925,8.186736,7.98644,1
2016,GHA,98,5.441176,9.637602,6,7,7.019695,6.030293,5.29751,5.514082,5,4.166667,3.716264,7.073726,6.44996,5.558565,0.97561,5.356873,7.115381,9.270777,6.50522,1,6.972844,7.289956,4.413254,10,4.274291,6.494375,8.396786,6.636165,6.420036,7.150996,1
2016,GRC,108,5.161765,3.856036,6,2.5,4.37945,4.692508,2.280541,4.809174,8.333333,7.5,4.125038,8.044201,5.647686,6.574106,1,5.77851,7.639093,9.675467,9.835,1,8.03739,8.266133,7.937076,10,4.512625,7.678959,7.90102,4.970784,6.432167,6.434657,1
2016,GTM,23,8.735294,9.878646,10,9.5,9.528485,4.251178,3.132365,4.984661,6.666667,4.166667,3.389827,8.330187,2.997205,2.561613,0.948718,4.38249,9.260378,9.859237,9.11032,2,9.557484,8.600089,6.301315,10,7.874348,8.193938,9.626412,3.989727,6.034088,6.550076,1
